x,y,simtime,communication_radius,"max_vehicle_communication",id
1504.51,825.41,1.484,100.0,15.0,1c
798.63,778.69,1.484,100.0,15.0,15
1489.07,825.69,1.484,100.0,15.0,3
1579.38,473.19,1.484,100.0,15.0,34
874.28,625.54,1.484,100.0,15.0,63
1485.04,841.29,1.484,100.0,15.0,1b
1498.87,847.16,1.484,100.0,15.0,1
1457.38,1043.5,1.484,100.0,15.0,204c
583.69,854.5,1.696,100.0,15.0,9
323.63,227.57,1.696,100.0,15.0,12
977.75,829.69,1.696,100.0,15.0,52
1425.56,1082.94,1.696,100.0,15.0,78
768.63,816.34,1.696,100.0,15.0,53
1470.88,1073.94,1.696,100.0,15.0,44
778.0,613.44,1.696,100.0,15.0,82
1573.69,569.0,1.696,100.0,15.0,27
1504.51,825.41,1.696,100.0,15.0,1c
798.63,778.69,1.696,100.0,15.0,15
1489.07,825.69,1.696,100.0,15.0,3
1579.38,473.19,1.696,100.0,15.0,34
874.28,625.54,1.696,100.0,15.0,63
1485.04,841.29,1.696,100.0,15.0,1b
1498.87,847.16,1.696,100.0,15.0,1
1457.38,1043.5,1.696,100.0,15.0,204c
583.69,854.5,1.908,100.0,15.0,9
323.63,227.57,1.908,100.0,15.0,12
977.75,829.69,1.908,100.0,15.0,52
1425.56,1082.94,1.908,100.0,15.0,78
768.63,816.34,1.908,100.0,15.0,53
1470.88,1073.94,1.908,100.0,15.0,44
778.0,613.44,1.908,100.0,15.0,82
1573.69,569.0,1.908,100.0,15.0,27
1504.51,825.41,1.908,100.0,15.0,1c
798.63,778.69,1.908,100.0,15.0,15
1489.07,825.69,1.908,100.0,15.0,3
1579.38,473.19,1.908,100.0,15.0,34
874.28,625.54,1.908,100.0,15.0,63
1485.04,841.29,1.908,100.0,15.0,1b
1498.87,847.16,1.908,100.0,15.0,1
1457.38,1043.5,1.908,100.0,15.0,204c
583.69,854.5,2.12,100.0,15.0,9
323.63,227.57,2.12,100.0,15.0,12
977.75,829.69,2.12,100.0,15.0,52
1425.56,1082.94,2.12,100.0,15.0,78
768.63,816.34,2.12,100.0,15.0,53
1470.88,1073.94,2.12,100.0,15.0,44
778.0,613.44,2.12,100.0,15.0,82
1573.69,569.0,2.12,100.0,15.0,27
1504.51,825.41,2.12,100.0,15.0,1c
798.63,778.69,2.12,100.0,15.0,15
1489.07,825.69,2.12,100.0,15.0,3
1579.38,473.19,2.12,100.0,15.0,34
874.28,625.54,2.12,100.0,15.0,63
1485.04,841.29,2.12,100.0,15.0,1b
1498.87,847.16,2.12,100.0,15.0,1
1457.38,1043.5,2.12,100.0,15.0,204c
583.69,854.5,2.332,100.0,15.0,9
323.63,227.57,2.332,100.0,15.0,12
977.75,829.69,2.332,100.0,15.0,52
1425.56,1082.94,2.332,100.0,15.0,78
768.63,816.34,2.332,100.0,15.0,53
1470.88,1073.94,2.332,100.0,15.0,44
778.0,613.44,2.332,100.0,15.0,82
1573.69,569.0,2.332,100.0,15.0,27
1504.51,825.41,2.332,100.0,15.0,1c
798.63,778.69,2.332,100.0,15.0,15
1489.07,825.69,2.332,100.0,15.0,3
1579.38,473.19,2.332,100.0,15.0,34
874.28,625.54,2.332,100.0,15.0,63
1485.04,841.29,2.332,100.0,15.0,1b
1498.87,847.16,2.332,100.0,15.0,1
1457.38,1043.5,2.332,100.0,15.0,204c
583.69,854.5,2.544,100.0,15.0,9
323.63,227.57,2.544,100.0,15.0,12
977.75,829.69,2.544,100.0,15.0,52
1425.56,1082.94,2.544,100.0,15.0,78
768.63,816.34,2.544,100.0,15.0,53
1470.88,1073.94,2.544,100.0,15.0,44
778.0,613.44,2.544,100.0,15.0,82
1573.69,569.0,2.544,100.0,15.0,27
1504.51,825.41,2.544,100.0,15.0,1c
798.63,778.69,2.544,100.0,15.0,15
1489.07,825.69,2.544,100.0,15.0,3
1579.38,473.19,2.544,100.0,15.0,34
874.28,625.54,2.544,100.0,15.0,63
1485.04,841.29,2.544,100.0,15.0,1b
1498.87,847.16,2.544,100.0,15.0,1
1457.38,1043.5,2.544,100.0,15.0,204c
583.69,854.5,2.756,100.0,15.0,9
323.63,227.57,2.756,100.0,15.0,12
977.75,829.69,2.756,100.0,15.0,52
1425.56,1082.94,2.756,100.0,15.0,78
768.63,816.34,2.756,100.0,15.0,53
1470.88,1073.94,2.756,100.0,15.0,44
778.0,613.44,2.756,100.0,15.0,82
1573.69,569.0,2.756,100.0,15.0,27
1504.51,825.41,2.756,100.0,15.0,1c
798.63,778.69,2.756,100.0,15.0,15
1489.07,825.69,2.756,100.0,15.0,3
1579.38,473.19,2.756,100.0,15.0,34
874.28,625.54,2.756,100.0,15.0,63
1485.04,841.29,2.756,100.0,15.0,1b
1498.87,847.16,2.756,100.0,15.0,1
1457.38,1043.5,2.756,100.0,15.0,204c
583.69,854.5,2.968,100.0,15.0,9
323.63,227.57,2.968,100.0,15.0,12
977.75,829.69,2.968,100.0,15.0,52
1425.56,1082.94,2.968,100.0,15.0,78
768.63,816.34,2.968,100.0,15.0,53
1470.88,1073.94,2.968,100.0,15.0,44
778.0,613.44,2.968,100.0,15.0,82
1573.69,569.0,2.968,100.0,15.0,27
1504.51,825.41,2.968,100.0,15.0,1c
798.63,778.69,2.968,100.0,15.0,15
1489.07,825.69,2.968,100.0,15.0,3
1579.38,473.19,2.968,100.0,15.0,34
874.28,625.54,2.968,100.0,15.0,63
1485.04,841.29,2.968,100.0,15.0,1b
1498.87,847.16,2.968,100.0,15.0,1
1457.38,1043.5,2.968,100.0,15.0,204c
583.69,854.5,3.18,100.0,15.0,9
323.63,227.57,3.18,100.0,15.0,12
977.75,829.69,3.18,100.0,15.0,52
1425.56,1082.94,3.18,100.0,15.0,78
768.63,816.34,3.18,100.0,15.0,53
1470.88,1073.94,3.18,100.0,15.0,44
778.0,613.44,3.18,100.0,15.0,82
1573.69,569.0,3.18,100.0,15.0,27
1504.51,825.41,3.18,100.0,15.0,1c
798.63,778.69,3.18,100.0,15.0,15
1489.07,825.69,3.18,100.0,15.0,3
1579.38,473.19,3.18,100.0,15.0,34
874.28,625.54,3.18,100.0,15.0,63
1485.04,841.29,3.18,100.0,15.0,1b
1498.87,847.16,3.18,100.0,15.0,1
1457.38,1043.5,3.18,100.0,15.0,204c
583.69,854.5,3.392,100.0,15.0,9
323.63,227.57,3.392,100.0,15.0,12
977.75,829.69,3.392,100.0,15.0,52
1425.56,1082.94,3.392,100.0,15.0,78
768.63,816.34,3.392,100.0,15.0,53
1470.88,1073.94,3.392,100.0,15.0,44
778.0,613.44,3.392,100.0,15.0,82
1573.69,569.0,3.392,100.0,15.0,27
1504.51,825.41,3.392,100.0,15.0,1c
798.63,778.69,3.392,100.0,15.0,15
1489.07,825.69,3.392,100.0,15.0,3
1579.38,473.19,3.392,100.0,15.0,34
874.28,625.54,3.392,100.0,15.0,63
1485.04,841.29,3.392,100.0,15.0,1b
1498.87,847.16,3.392,100.0,15.0,1
1457.38,1043.5,3.392,100.0,15.0,204c
583.69,854.5,3.604,100.0,15.0,9
