"id","x","y","angle","type","speed","pos","lane","slope","simtime"
"id_0","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_4","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_0","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_2","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_1","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_0","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_5","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_0","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_4","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_3","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_6","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_1","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_3","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_2","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_1","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_3","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_4","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_2","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.616"
"id_0","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_1","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_5","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_2","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_0","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_4","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_0","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_2","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_1","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_0","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_5","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_0","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_4","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_3","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_6","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_1","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_3","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_2","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_1","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_3","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_4","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_2","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","35.828"
"id_0","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_1","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_5","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_2","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_0","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_4","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_0","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_2","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_1","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_0","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_5","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_0","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_4","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_3","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_6","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_1","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_3","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_2","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_1","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_3","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_4","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_2","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.04"
"id_0","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_1","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_5","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_2","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_0","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_4","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_0","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_2","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_1","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_0","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_5","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_0","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_4","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_3","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_6","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_1","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_3","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_2","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_1","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_3","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_4","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_2","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.252"
"id_0","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_1","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_5","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_1","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_2","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_0","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_4","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_0","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_2","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_1","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_0","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_5","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_0","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_4","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_3","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_1","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_3","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_2","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_1","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_3","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_4","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_2","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.464"
"id_0","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_1","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_5","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_1","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_2","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_0","1425.56","1082.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_0","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_4","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_0","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_2","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_1","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_0","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_5","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_0","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_3","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_1","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_3","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_2","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_1","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_3","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_4","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_2","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.676"
"id_0","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_1","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_5","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_1","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_2","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_0","1425.56","1082.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_0","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_4","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_0","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_2","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_6","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_1","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_0","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_5","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_0","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_3","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_1","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_3","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_2","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_1","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_3","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_4","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_2","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","36.888"
"id_0","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_1","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_5","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_1","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_2","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_0","1425.56","1082.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_0","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_4","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_0","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_2","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_6","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_1","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_0","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_5","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_0","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_4","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_3","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_1","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_3","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_2","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_1","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_3","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_4","583.69","854.5","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_2","1470.88","1073.94","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.1"
"id_0","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.312"
"id_1","323.63","227.57","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.312"
"id_5","1579.38","473.19","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.312"
"id_1","768.63","816.34","0.0","no_type_info","0.0","0.0","no_lane_info","0.0","37.312"
