App_Name,EndTime,"IoTDeviceBatteryConsumption",IoTDeviceDrained,SimulationTime,StartTime,TotalCloudLetSizes,TotalEdgeLetSizes,TotalIoTGeneratedData,TotalMELGeneratedData,appTotalRunningTime
App_1,19.07893,1.0100000000000051,No,8.90293,10.176,200,250,1,70,8.90293
App_2,19.56217,1.0100000000000051,No,9.174169999999998,10.388,200,250,1,70,9.174169999999998
App_3,18.50218,2.0300000000000153,No,8.11418,10.388,200,250,1,70,8.11418
App_4,19.248179999999998,2.0300000000000153,No,8.648179999999998,10.6,200,250,1,70,8.648179999999998
App_5,16.292089999999998,3.0500000000000256,No,5.6920899999999985,10.6,200,250,1,70,5.6920899999999985
App_6,17.98617,3.0500000000000256,No,7.174170000000002,10.812,200,250,1,70,7.174170000000002
App_7,19.68393,4.070000000000036,No,8.87193,10.812,200,250,1,70,8.87193
App_8,19.69417,4.070000000000036,No,8.67017,11.024,200,250,1,70,8.67017
App_9,19.417789999999997,5.090000000000046,No,8.393789999999997,11.024,200,250,1,70,8.393789999999997
App_10,86.27231,1.0100000000000051,No,51.71631000000001,34.556,200,250,1,70,51.71631000000001
App_11,86.27231,1.0100000000000051,No,51.71631000000001,34.556,200,250,1,70,51.71631000000001
App_12,86.98282000000003,1.0100000000000051,No,52.426820000000035,34.556,200,250,1,70,52.426820000000035
App_13,86.27231,1.0100000000000051,No,51.71631000000001,34.556,200,250,1,70,51.71631000000001
App_14,42.51197,5.090000000000046,No,7.955970000000001,34.556,200,250,1,70,7.955970000000001
App_15,39.43599999999999,6.110000000000056,No,4.8799999999999955,34.556,200,250,1,70,4.8799999999999955
App_16,41.56797,1.0100000000000051,No,7.011970000000005,34.556,200,250,1,70,7.011970000000005
App_17,39.41199999999999,1.0100000000000051,No,4.8559999999999945,34.556,200,250,1,70,4.8559999999999945
App_18,80.47193000000001,3.0500000000000256,No,45.703930000000014,34.768,200,250,1,70,45.703930000000014
App_19,80.47193000000001,3.0500000000000256,No,45.703930000000014,34.768,200,250,1,70,45.703930000000014
App_20,80.47193000000001,3.0500000000000256,No,45.703930000000014,34.768,200,250,1,70,45.703930000000014
App_21,80.47193000000001,3.0500000000000256,No,45.703930000000014,34.768,200,250,1,70,45.703930000000014
App_22,42.19597999999999,7.1300000000000665,No,7.427979999999991,34.768,200,250,1,70,7.427979999999991
App_23,44.8039,8.150000000000077,No,10.035899999999998,34.768,200,250,1,70,10.035899999999998
App_24,42.36397999999999,3.0500000000000256,No,7.59597999999999,34.768,200,250,1,70,7.59597999999999
App_25,46.080069999999985,3.0500000000000256,No,11.312069999999984,34.768,200,250,1,70,11.312069999999984
App_26,68.80725999999999,3.0400000000000205,No,33.82725999999999,34.98,200,250,1,70,33.82725999999999
App_27,68.80725999999999,3.0400000000000205,No,33.82725999999999,34.98,200,250,1,70,33.82725999999999
App_28,68.80725999999999,3.0400000000000205,No,33.82725999999999,34.98,200,250,1,70,33.82725999999999
App_29,68.80725999999999,3.0400000000000205,No,33.82725999999999,34.98,200,250,1,70,33.82725999999999
App_30,47.91961999999999,7.120000000000061,No,12.93961999999999,34.98,200,250,1,70,12.93961999999999
App_31,44.76189,8.140000000000072,No,9.781890000000004,34.98,200,250,1,70,9.781890000000004
App_32,45.83192999999998,3.0400000000000205,No,10.851929999999982,34.98,200,250,1,70,10.851929999999982
App_33,46.69876999999998,3.0400000000000205,No,11.718769999999985,34.98,200,250,1,70,11.718769999999985
App_34,109.55040000000001,4.070000000000036,No,74.35840000000002,35.192,200,250,1,70,74.35840000000002
App_35,109.55040000000001,4.070000000000036,No,74.35840000000002,35.192,200,250,1,70,74.35840000000002
App_36,109.55040000000001,4.070000000000036,No,74.35840000000002,35.192,200,250,1,70,74.35840000000002
App_37,109.55040000000001,4.070000000000036,No,74.35840000000002,35.192,200,250,1,70,74.35840000000002
App_38,51.520250000000004,8.150000000000077,No,16.328250000000004,35.192,200,250,1,70,16.328250000000004
App_39,53.414970000000004,9.170000000000087,No,18.222970000000004,35.192,200,250,1,70,18.222970000000004
App_40,58.68979999999998,4.070000000000036,No,23.497799999999977,35.192,200,250,1,70,23.497799999999977
App_41,50.335179999999994,4.070000000000036,No,15.143179999999994,35.192,200,250,1,70,15.143179999999994
App_42,107.37258000000001,6.110000000000056,No,71.96858,35.404,200,250,1,70,71.96858
App_43,107.37258000000001,6.110000000000056,No,71.96858,35.404,200,250,1,70,71.96858
App_44,107.37258000000001,6.110000000000056,No,71.96858,35.404,200,250,1,70,71.96858
