APP_ID,AppName,CloudLetMISize,"CloudLetProcessingTimeByVM","DataSizeIoTDeviceToMEL_Mb",DataSizeMELToVM_Mb,DestinationVmName,EdgeLetMISize,"EdgeLetProcessingTimeByMEL",EdgeLet_MEL_FinishTime,EdgeLet_MEL_StartTime,FinishTime,IoTDeviceName,MELName,MelEndTransmissionTime,MelStartTransmissionTime,StartTime,Transaction,TransactionTotalTime,"TransmissionTimeIoTDeviceToMEL",TransmissionTimeMELToVM,flowIoTMelAppId,flowMELCloudAppId,path_dst,path_src,zEdgeToWANBW
16,App_16,200.0,0.7999900000000011,1,70,"VM_7 (Cloud_1)",250.0,4.7479999999999976,39.516,34.768,41.56797,id_3,"MEL_Edge_34.31 (Edge_34)",40.76798,39.516,34.556,1,7.011970000000005,0.2120000000000033,1.2519800000000032,16,16,"Host#1@Cloud_1",34,50.0
17,App_17,200.0,0.7999999999999972,1,70,"VM_8 (Cloud_1)",250.0,3.1439999999999984,37.912,34.768,39.41199999999999,id_2,"MEL_Edge_204c.11 (Edge_204c)",38.611999999999995,37.912,34.556,1,4.8559999999999945,0.2120000000000033,0.6999999999999957,17,17,"Host#2@Cloud_1",44,100.0
18,App_18,200.0,0.7977100000000092,1,70,"VM_9 (Cloud_1)",250.0,20.064000000000007,55.044000000000004,34.98,80.47193000000001,id_5,"MEL_Edge_9.2 (Edge_9)",79.67422,55.044000000000004,34.768,1,45.703930000000014,0.2119999999999962,24.63022,18,18,"Host#3@Cloud_1",9,1.1904761904761905
19,App_19,200.0,0.7977100000000092,1,70,"VM_10 (Cloud_1)",250.0,20.064000000000007,55.044000000000004,34.98,80.47193000000001,id_4,"MEL_Edge_9.2 (Edge_9)",79.67422,55.044000000000004,34.768,1,45.703930000000014,0.2119999999999962,24.63022,19,19,"Host#4@Cloud_1",9,1.2048192771084338
20,App_20,200.0,0.7977100000000092,1,70,"VM_1 (Cloud_1)",250.0,20.064000000000007,55.044000000000004,34.98,80.47193000000001,id_7,"MEL_Edge_9.2 (Edge_9)",79.67422,55.044000000000004,34.768,1,45.703930000000014,0.2119999999999962,24.63022,20,20,"Host#1@Cloud_1",9,1.2345679012345678
21,App_21,200.0,0.7977100000000092,1,70,"VM_2 (Cloud_1)",250.0,20.064000000000007,55.044000000000004,34.98,80.47193000000001,id_6,"MEL_Edge_9.2 (Edge_9)",79.67422,55.044000000000004,34.768,1,45.703930000000014,0.2119999999999962,24.63022,21,21,"Host#2@Cloud_1",9,1.2195121951219512
22,App_22,200.0,0.7960099999999883,1,70,"VM_3 (Cloud_1)",250.0,5.356000000000009,40.336000000000006,34.98,42.19597999999999,id_1,"MEL_Edge_204c.17 (Edge_204c)",41.39997,40.336000000000006,34.768,1,7.427979999999991,0.2119999999999962,1.0639699999999976,22,22,"Host#3@Cloud_1",44,100.0
23,App_23,200.0,0.7979899999999915,1,70,"VM_4 (Cloud_1)",250.0,6.811999999999998,41.791999999999994,34.98,44.8039,id_0,"MEL_Edge_34.31 (Edge_34)",44.00591000000001,41.791999999999994,34.768,1,10.035899999999998,0.2119999999999962,2.2139100000000127,23,23,"Host#4@Cloud_1",34,20.0
24,App_24,200.0,1.4479999999999933,1,70,"VM_5 (Cloud_1)",250.0,4.6839999999999975,39.663999999999994,34.98,42.36397999999999,id_3,"MEL_Edge_34.33 (Edge_34)",40.91598,39.663999999999994,34.768,1,7.59597999999999,0.2119999999999962,1.2519800000000032,24,24,"Host#5@Cloud_1",34,100.0
25,App_25,200.0,0.7961400000000083,1,70,"VM_6 (Cloud_1)",250.0,9.248000000000012,44.22800000000001,34.98,46.080069999999985,id_2,"MEL_Edge_204c.14 (Edge_204c)",45.28392999999998,44.22800000000001,34.768,1,11.312069999999984,0.2119999999999962,1.055929999999968,25,25,"Host#6@Cloud_1",44,50.0
26,App_26,200.0,0.7999999999999972,1,70,"VM_7 (Cloud_1)",250.0,19.148000000000003,54.34,35.192,68.80725999999999,id_5,"MEL_Edge_9.3 (Edge_9)",68.00725999999999,54.34,34.98,1,33.82725999999999,0.2120000000000033,13.667259999999985,26,26,"Host#1@Cloud_1",9,1.1764705882352942
27,App_27,200.0,0.7999999999999972,1,70,"VM_8 (Cloud_1)",250.0,19.148000000000003,54.34,35.192,68.80725999999999,id_4,"MEL_Edge_9.3 (Edge_9)",68.00725999999999,54.34,34.98,1,33.82725999999999,0.2120000000000033,13.667259999999985,27,27,"Host#2@Cloud_1",9,1.1627906976744187
28,App_28,200.0,0.7999999999999972,1,70,"VM_9 (Cloud_1)",250.0,19.148000000000003,54.34,35.192,68.80725999999999,id_7,"MEL_Edge_9.3 (Edge_9)",68.00725999999999,54.34,34.98,1,33.82725999999999,0.2120000000000033,13.667259999999985,28,28,"Host#3@Cloud_1",9,1.1494252873563218
29,App_29,200.0,0.7999999999999972,1,70,"VM_10 (Cloud_1)",250.0,19.148000000000003,54.34,35.192,68.80725999999999,id_6,"MEL_Edge_9.3 (Edge_9)",68.00725999999999,54.34,34.98,1,33.82725999999999,0.2120000000000033,13.667259999999985,29,29,"Host#4@Cloud_1",9,1.1363636363636365
30,App_30,200.0,0.7999999999999972,1,70,"VM_1 (Cloud_1)",250.0,10.223999999999997,45.416,35.192,47.91961999999999,id_1,"MEL_Edge_204c.11 (Edge_204c)",47.11961999999999,45.416,34.98,1,12.93961999999999,0.2120000000000033,1.7036199999999937,30,30,"Host#1@Cloud_1",44,34.48275862068966
31,App_31,200.0,0.7960199999999915,1,70,"VM_2 (Cloud_1)",250.0,6.591999999999992,41.78399999999999,35.192,44.76189,id_0,"MEL_Edge_34.33 (Edge_34)",43.96587000000001,41.78399999999999,34.98,1,9.781890000000004,0.2120000000000033,2.1818700000000177,31,31,"Host#2@Cloud_1",34,16.666666666666668
32,App_32,200.0,0.797159999999991,1,70,"VM_3 (Cloud_1)",250.0,6.939999999999998,42.132,35.192,45.83192999999998,id_3,"MEL_Edge_34.35 (Edge_34)",45.03476999999999,42.132,34.98,1,10.851929999999982,0.2120000000000033,2.9027699999999896,32,32,"Host#3@Cloud_1",34,11.11111111111111
33,App_33,200.0,0.7986999999999966,1,70,"VM_4 (Cloud_1)",250.0,9.380000000000003,44.572,35.192,46.69876999999998,id_2,"MEL_Edge_204c.17 (Edge_204c)",45.900069999999985,44.572,34.98,1,11.718769999999985,0.2120000000000033,1.3280699999999825,33,33,"Host#4@Cloud_1",44,43.47826086956522
34,App_34,200.0,0.7999999999999972,1,70,"VM_5 (Cloud_1)",250.0,24.351999999999997,59.756,35.404,109.55040000000001,id_5,"MEL_Edge_9.1 (Edge_9)",108.75040000000001,59.756,35.192,1,74.3584,0.2120000000000033,48.99440000000001,34,34,"Host#5@Cloud_1",9,1.4285714285714286
35,App_35,200.0,0.7999999999999972,1,70,"VM_6 (Cloud_1)",250.0,24.351999999999997,59.756,35.404,109.55040000000001,id_4,"MEL_Edge_9.1 (Edge_9)",108.75040000000001,59.756,35.192,1,74.3584,0.2120000000000033,48.99440000000001,35,35,"Host#6@Cloud_1",9,1.492537313432836
