bandWidthShare,channelID,edgeName,melName,timeStamp
33.333333333333336,"channelID: 17",Edge_12,MEL_Edge_12.4,18.621779999999998
50.0,"channelID: 17",Edge_12,MEL_Edge_12.4,18.76579
11.11111111111111,"channelID: 18",Edge_12,MEL_Edge_12.4,14.375999999999998
12.5,"channelID: 18",Edge_12,MEL_Edge_12.4,15.492089999999997
14.285714285714286,"channelID: 18",Edge_12,MEL_Edge_12.4,17.18818
16.666666666666668,"channelID: 18",Edge_12,MEL_Edge_12.4,17.70617
20.0,"channelID: 18",Edge_12,MEL_Edge_12.4,18.28218
25.0,"channelID: 18",Edge_12,MEL_Edge_12.4,18.45217
33.333333333333336,"channelID: 18",Edge_12,MEL_Edge_12.4,18.621779999999998
50.0,"channelID: 18",Edge_12,MEL_Edge_12.4,18.76579
100.0,"channelID: 18",Edge_12,MEL_Edge_12.4,18.88693
100.0,"channelID: 133",Edge_204c,MEL_Edge_204c.11,37.912
100.0,"channelID: 134",Edge_34,MEL_Edge_34.35,37.93599999999999
100.0,"channelID: 195",Edge_34,MEL_Edge_34.31,39.516
50.0,"channelID: 195",Edge_34,MEL_Edge_34.31,39.663999999999994
50.0,"channelID: 204",Edge_34,MEL_Edge_34.33,39.663999999999994
100.0,"channelID: 204",Edge_34,MEL_Edge_34.33,40.76798
100.0,"channelID: 213",Edge_204c,MEL_Edge_204c.14,40.00000000000001
50.0,"channelID: 213",Edge_204c,MEL_Edge_204c.14,40.336000000000006
50.0,"channelID: 214",Edge_204c,MEL_Edge_204c.17,40.336000000000006
100.0,"channelID: 214",Edge_204c,MEL_Edge_204c.17,41.06398
100.0,"channelID: 215",Edge_12,MEL_Edge_12.4,40.58
50.0,"channelID: 215",Edge_12,MEL_Edge_12.4,40.644
33.333333333333336,"channelID: 215",Edge_12,MEL_Edge_12.4,40.796
25.0,"channelID: 215",Edge_12,MEL_Edge_12.4,41.216
20.0,"channelID: 215",Edge_12,MEL_Edge_12.4,41.432
50.0,"channelID: 216",Edge_12,MEL_Edge_12.6,40.644
33.333333333333336,"channelID: 216",Edge_12,MEL_Edge_12.6,40.796
25.0,"channelID: 216",Edge_12,MEL_Edge_12.6,41.216
20.0,"channelID: 216",Edge_12,MEL_Edge_12.6,41.432
25.0,"channelID: 216",Edge_12,MEL_Edge_12.6,43.26185
33.333333333333336,"channelID: 217",Edge_12,MEL_Edge_12.5,40.796
25.0,"channelID: 217",Edge_12,MEL_Edge_12.5,41.216
20.0,"channelID: 217",Edge_12,MEL_Edge_12.5,41.432
25.0,"channelID: 217",Edge_12,MEL_Edge_12.5,43.26185
33.333333333333336,"channelID: 217",Edge_12,MEL_Edge_12.5,43.51789
100.0,"channelID: 220",Edge_34,MEL_Edge_34.33,41.78399999999999
50.0,"channelID: 220",Edge_34,MEL_Edge_34.33,41.791999999999994
33.333333333333336,"channelID: 220",Edge_34,MEL_Edge_34.33,42.132
25.0,"channelID: 220",Edge_34,MEL_Edge_34.33,43.080000000000005
20.0,"channelID: 220",Edge_34,MEL_Edge_34.33,43.69200000000001
16.666666666666668,"channelID: 220",Edge_34,MEL_Edge_34.33,43.912000000000006
50.0,"channelID: 221",Edge_34,MEL_Edge_34.31,41.791999999999994
33.333333333333336,"channelID: 221",Edge_34,MEL_Edge_34.31,42.132
25.0,"channelID: 221",Edge_34,MEL_Edge_34.31,43.080000000000005
20.0,"channelID: 221",Edge_34,MEL_Edge_34.31,43.69200000000001
16.666666666666668,"channelID: 221",Edge_34,MEL_Edge_34.31,43.912000000000006
20.0,"channelID: 221",Edge_34,MEL_Edge_34.31,43.96587000000001
25.0,"channelID: 218",Edge_12,MEL_Edge_12.4,41.216
20.0,"channelID: 218",Edge_12,MEL_Edge_12.4,41.432
25.0,"channelID: 218",Edge_12,MEL_Edge_12.4,43.26185
33.333333333333336,"channelID: 218",Edge_12,MEL_Edge_12.4,43.51789
50.0,"channelID: 218",Edge_12,MEL_Edge_12.4,43.745900000000006
20.0,"channelID: 219",Edge_12,MEL_Edge_12.5,41.432
25.0,"channelID: 219",Edge_12,MEL_Edge_12.5,43.26185
33.333333333333336,"channelID: 219",Edge_12,MEL_Edge_12.5,43.51789
50.0,"channelID: 219",Edge_12,MEL_Edge_12.5,43.745900000000006
100.0,"channelID: 219",Edge_12,MEL_Edge_12.5,44.025890000000004
33.333333333333336,"channelID: 222",Edge_34,MEL_Edge_34.35,42.132
25.0,"channelID: 222",Edge_34,MEL_Edge_34.35,43.080000000000005
20.0,"channelID: 222",Edge_34,MEL_Edge_34.35,43.69200000000001
16.666666666666668,"channelID: 222",Edge_34,MEL_Edge_34.35,43.912000000000006
20.0,"channelID: 222",Edge_34,MEL_Edge_34.35,43.96587000000001
25.0,"channelID: 222",Edge_34,MEL_Edge_34.35,44.00591000000001
20.0,"channelID: 222",Edge_34,MEL_Edge_34.35,44.212
16.666666666666668,"channelID: 222",Edge_34,MEL_Edge_34.35,44.255999999999986
14.285714285714286,"channelID: 222",Edge_34,MEL_Edge_34.35,44.54799999999999
12.5,"channelID: 222",Edge_34,MEL_Edge_34.35,44.58399999999998
11.11111111111111,"channelID: 222",Edge_34,MEL_Edge_34.35,44.999999999999986
100.0,"channelID: 227",Edge_204c,MEL_Edge_204c.14,44.22800000000001
50.0,"channelID: 227",Edge_204c,MEL_Edge_204c.14,44.572
50.0,"channelID: 230",Edge_204c,MEL_Edge_204c.17,44.572
83.33333333333333,"channelID: 230",Edge_204c,MEL_Edge_204c.17,45.28392999999998
76.92307692307692,"channelID: 230",Edge_204c,MEL_Edge_204c.17,45.39599999999998
50.0,"channelID: 230",Edge_204c,MEL_Edge_204c.17,45.416
47.61904761904762,"channelID: 230",Edge_204c,MEL_Edge_204c.17,45.731999999999985
45.45454545454545,"channelID: 230",Edge_204c,MEL_Edge_204c.17,45.80999999999998
43.47826086956522,"channelID: 230",Edge_204c,MEL_Edge_204c.17,45.85599999999999
50.0,"channelID: 237",Edge_204c,MEL_Edge_204c.11,45.416
47.61904761904762,"channelID: 237",Edge_204c,MEL_Edge_204c.11,45.731999999999985
45.45454545454545,"channelID: 237",Edge_204c,MEL_Edge_204c.11,45.80999999999998
43.47826086956522,"channelID: 237",Edge_204c,MEL_Edge_204c.11,45.85599999999999
45.45454545454545,"channelID: 237",Edge_204c,MEL_Edge_204c.11,45.900069999999985
43.47826086956522,"channelID: 237",Edge_204c,MEL_Edge_204c.11,45.941999999999986
41.666666666666664,"channelID: 237",Edge_204c,MEL_Edge_204c.11,46.124
40.0,"channelID: 237",Edge_204c,MEL_Edge_204c.11,46.27399999999999
38.46153846153846,"channelID: 237",Edge_204c,MEL_Edge_204c.11,46.376
37.03703703703704,"channelID: 237",Edge_204c,MEL_Edge_204c.11,46.448
35.714285714285715,"channelID: 237",Edge_204c,MEL_Edge_204c.11,46.48999999999999
34.48275862068966,"channelID: 237",Edge_204c,MEL_Edge_204c.11,46.72599999999999
34.48275862068966,"channelID: 254",Edge_204c,MEL_Edge_204c.11,47.43200000000001
33.333333333333336,"channelID: 254",Edge_204c,MEL_Edge_204c.11,48.25600000000001
32.25806451612903,"channelID: 254",Edge_204c,MEL_Edge_204c.11,48.603999999999985
25.0,"channelID: 254",Edge_204c,MEL_Edge_204c.11,49.528
33.333333333333336,"channelID: 255",Edge_204c,MEL_Edge_204c.14,48.25600000000001
32.25806451612903,"channelID: 255",Edge_204c,MEL_Edge_204c.14,48.603999999999985
25.0,"channelID: 255",Edge_204c,MEL_Edge_204c.14,49.528
32.25806451612903,"channelID: 255",Edge_204c,MEL_Edge_204c.14,49.53518
25.0,"channelID: 255",Edge_204c,MEL_Edge_204c.14,49.872
20.0,"channelID: 255",Edge_204c,MEL_Edge_204c.14,49.976000000000006
32.25806451612903,"channelID: 256",Edge_204c,MEL_Edge_204c.17,48.603999999999985
25.0,"channelID: 256",Edge_204c,MEL_Edge_204c.17,49.528
32.25806451612903,"channelID: 256",Edge_204c,MEL_Edge_204c.17,49.53518
25.0,"channelID: 256",Edge_204c,MEL_Edge_204c.17,49.872
20.0,"channelID: 256",Edge_204c,MEL_Edge_204c.17,49.976000000000006
25.0,"channelID: 256",Edge_204c,MEL_Edge_204c.17,50.723400000000005
20.0,"channelID: 256",Edge_204c,MEL_Edge_204c.17,50.88
25.0,"channelID: 223",Edge_34,MEL_Edge_34.35,43.080000000000005
20.0,"channelID: 223",Edge_34,MEL_Edge_34.35,43.69200000000001
16.666666666666668,"channelID: 223",Edge_34,MEL_Edge_34.35,43.912000000000006
20.0,"channelID: 223",Edge_34,MEL_Edge_34.35,43.96587000000001
25.0,"channelID: 223",Edge_34,MEL_Edge_34.35,44.00591000000001
20.0,"channelID: 223",Edge_34,MEL_Edge_34.35,44.212
16.666666666666668,"channelID: 223",Edge_34,MEL_Edge_34.35,44.255999999999986
