dcName,name,startTime,usedMips
Cloud_1,host1,0.0,250.0
Cloud_1,host1,0.0,500.0
Cloud_1,host1,0.0,750.0
Cloud_1,host1,0.0,1000.0
Cloud_1,host1,121.68782999999999,0.0
Cloud_1,host2,0.0,250.0
Cloud_1,host2,0.0,500.0
Cloud_1,host2,0.0,750.0
Cloud_1,host2,0.0,1000.0
Cloud_1,host2,121.68782999999999,0.0
Cloud_1,host3,0.0,250.0
Cloud_1,host3,0.0,500.0
Cloud_1,host3,0.0,750.0
Cloud_1,host3,0.0,1000.0
Cloud_1,host3,121.68782999999999,0.0
Cloud_1,host4,0.0,250.0
Cloud_1,host4,0.0,500.0
Cloud_1,host4,0.0,750.0
Cloud_1,host4,0.0,1000.0
Cloud_1,host4,121.68782999999999,0.0
Cloud_1,host5,0.0,250.0
Cloud_1,host5,0.0,500.0
Cloud_1,host5,0.0,750.0
Cloud_1,host5,0.0,1000.0
Cloud_1,host5,121.68782999999999,0.0
Cloud_1,host6,0.0,250.0
Cloud_1,host6,0.0,500.0
Cloud_1,host6,0.0,750.0
Cloud_1,host6,0.0,1000.0
Cloud_1,host6,121.68782999999999,0.0
Edge_9,9,4.450147717014403E-308,250.0
Edge_9,9,4.450147717014403E-308,500.0
Edge_9,9,4.450147717014403E-308,750.0
Edge_9,9,121.68782999999999,0.0
Edge_12,12,8.900295434028806E-308,250.0
Edge_12,12,8.900295434028806E-308,500.0
Edge_12,12,8.900295434028806E-308,750.0
Edge_12,12,121.68782999999999,0.0
Edge_52,52,1.3350443151043208E-307,250.0
Edge_52,52,1.3350443151043208E-307,500.0
Edge_52,52,1.3350443151043208E-307,750.0
Edge_52,52,121.68782999999999,0.0
Edge_204c,204c,1.7800590868057611E-307,250.0
Edge_204c,204c,1.7800590868057611E-307,500.0
Edge_204c,204c,1.7800590868057611E-307,750.0
Edge_204c,204c,121.68782999999999,0.0
Edge_204c,44,1.7800590868057611E-307,250.0
Edge_204c,44,1.7800590868057611E-307,500.0
Edge_204c,44,1.7800590868057611E-307,750.0
Edge_204c,44,121.68782999999999,0.0
Edge_204c,78,1.7800590868057611E-307,250.0
Edge_204c,78,1.7800590868057611E-307,500.0
Edge_204c,78,1.7800590868057611E-307,750.0
Edge_204c,78,121.68782999999999,0.0
Edge_15,15,2.2250738585072014E-307,250.0
Edge_15,15,2.2250738585072014E-307,500.0
Edge_15,15,2.2250738585072014E-307,750.0
Edge_15,15,121.68782999999999,0.0
Edge_15,53,2.2250738585072014E-307,250.0
Edge_15,53,2.2250738585072014E-307,500.0
Edge_15,53,2.2250738585072014E-307,750.0
Edge_15,53,121.68782999999999,0.0
Edge_63,63,2.6700886302086417E-307,250.0
Edge_63,63,2.6700886302086417E-307,500.0
Edge_63,63,2.6700886302086417E-307,750.0
Edge_63,63,121.68782999999999,0.0
Edge_63,82,2.6700886302086417E-307,250.0
Edge_63,82,2.6700886302086417E-307,500.0
Edge_63,82,2.6700886302086417E-307,750.0
Edge_63,82,121.68782999999999,0.0
Edge_34,34,3.115103401910082E-307,250.0
Edge_34,34,3.115103401910082E-307,500.0
Edge_34,34,3.115103401910082E-307,750.0
Edge_34,34,121.68782999999999,0.0
Edge_34,27,3.115103401910082E-307,250.0
Edge_34,27,3.115103401910082E-307,500.0
Edge_34,27,3.115103401910082E-307,750.0
Edge_34,27,121.68782999999999,0.0
Edge_3,3,3.5601181736115222E-307,250.0
Edge_3,3,3.5601181736115222E-307,500.0
Edge_3,3,3.5601181736115222E-307,750.0
Edge_3,3,121.68782999999999,0.0
Edge_3,1,3.5601181736115222E-307,250.0
Edge_3,1,3.5601181736115222E-307,500.0
Edge_3,1,3.5601181736115222E-307,750.0
Edge_3,1,121.68782999999999,0.0
Edge_3,1b,3.5601181736115222E-307,250.0
Edge_3,1b,3.5601181736115222E-307,500.0
Edge_3,1b,3.5601181736115222E-307,750.0
Edge_3,1b,121.68782999999999,0.0
Edge_3,1c,3.5601181736115222E-307,250.0
Edge_3,1c,3.5601181736115222E-307,500.0
Edge_3,1c,3.5601181736115222E-307,750.0
Edge_3,1c,121.68782999999999,0.0
